order_id,source,date_purchased,shipping_type,payment_method,promo_value,restaurant_total,customer,shops_id,state,postal_code
47433960,iosapp,2019-03-13T08:02:07.000Z,Delivery,credit,0,15.5,13315067198,24597,MD,21162
47434359,iosapp,2019-03-13T08:11:38.000Z,Delivery,credit,0,24.83,15557129447,64392,NY,12944
47437194,partner_website,2019-03-13T09:07:31.000Z,Delivery,cash,0,43.24,25689365012,33699,NJ,8007
47442942,partner_website,2019-03-13T11:01:04.000Z,Delivery,credit,0,27.95,25421112251,19002,WI,53235
47443107,partner_website,2019-03-13T11:04:56.000Z,Delivery,credit,0,23.15,18529185191,34911,MA,2122
47446248,iosapp,2019-03-13T12:19:29.000Z,Delivery,credit,0,19.87,10420107737,261,NY,10301
47446272,partner_website,2019-03-13T12:19:49.000Z,Delivery,credit,0,33.53,15315600200,24807,CA,94612
47454681,slicelife,2019-03-13T14:18:17.000Z,Pickup,credit,0,38.04,13306584713,13989,MD,21234
47456028,partner_website,2019-03-13T14:29:17.000Z,Delivery,credit,0,57.37,15487909931,44211,NY,12570
47456199,iosapp,2019-03-13T14:30:50.000Z,Delivery,cash,0,19.82,27449616116,43320,NY,10541
47456529,partner_website,2019-03-13T14:33:00.000Z,Delivery,credit,0,19.71,6041663939,43299,NJ,7022
47457093,iosapp,2019-03-13T14:37:03.000Z,Delivery,credit,3,15.28,6048498911,3630,NJ,7306
47460021,partner_website,2019-03-13T14:58:29.000Z,Delivery,credit,0,35.76,10435705412,30378,NJ,7866
47460840,partner_website,2019-03-13T15:04:24.000Z,Delivery,credit,4,52.09,24477955067,31290,IL,60423
47461338,androidapp,2019-03-13T15:07:37.000Z,Pickup,credit,0,35.04,23174403629,49419,MA,1013
47462871,partner_website,2019-03-13T15:17:21.000Z,Pickup,credit,0,37.57,8037565352,72708,NJ,8002
47467446,iosapp,2019-03-13T15:47:35.000Z,Delivery,credit,0,43.56,23459983661,26799,MA,2452
47467467,iosapp,2019-03-13T15:47:43.000Z,Delivery,credit,0,43.56,23459983661,26799,MA,2452
47467581,iosapp,2019-03-13T15:48:32.000Z,Delivery,credit,0,43.56,23459983661,26799,MA,2452
47467767,iosapp,2019-03-13T15:49:33.000Z,Delivery,credit,0,19.48,6478936301,5766,PA,19104
47467905,iosapp,2019-03-13T15:50:29.000Z,Delivery,credit,0,24.69,14548429994,48780,PA,19320
47469051,iosapp,2019-03-13T15:57:49.000Z,Delivery,credit,0,39.06,21492913793,29772,NY,14075
47471295,iosapp,2019-03-13T16:12:48.000Z,Delivery,credit,0,27.9,12226142672,2718,MD,20877
47473512,androidapp,2019-03-13T16:26:57.000Z,Pickup,credit,0,9.53,9911518523,31308,OH,44432
47474058,androidapp,2019-03-13T16:30:59.000Z,Pickup,cash,0,8.09,9911518523,31308,OH,44432
47474511,slicelife,2019-03-13T16:33:51.000Z,Delivery,cash,0,20.92,6196987925,27246,WA,98101
47476884,iosapp,2019-03-13T16:51:04.000Z,Pickup,credit,0,11.76,29111737163,44988,CO,80631
47477553,iosapp,2019-03-13T16:56:35.000Z,Delivery,credit,0,45.2,6732846944,35565,IL,60014
47478747,iosapp,2019-03-13T17:06:20.000Z,Delivery,credit,0,16.11,22719723824,11529,VA,23605
47480703,partner_website,2019-03-13T17:22:14.000Z,Delivery,credit,0,21.31,28636612496,26364,FL,33141
47483433,iosapp,2019-03-13T17:49:14.000Z,Pickup,credit,0,15.48,29350072139,22950,CA,90094
47483820,partner_website,2019-03-13T17:53:00.000Z,Delivery,credit,0,0,8026164419,16812,NJ,7036
47483892,partner_website,2019-03-13T17:53:33.000Z,Delivery,credit,0,22.57,8026164419,16812,NJ,7036
47484030,partner_website,2019-03-13T17:54:15.000Z,Delivery,credit,0,0,8026164419,16812,NJ,7036
47484138,partner_website,2019-03-13T17:54:51.000Z,Delivery,credit,0,22.57,8026164419,16812,NJ,7036
47484684,partner_website,2019-03-13T17:57:54.000Z,Delivery,credit,0,22.57,8026164419,16812,NJ,7036
47485563,iosapp,2019-03-13T18:03:00.000Z,Pickup,credit,0,30.18,29187149480,24210,TX,75094
47491161,partner_website,2019-03-13T19:49:57.000Z,Delivery,credit,0,34.44,9307261376,35952,CA,90302
47492595,partner_website,2019-03-13T21:08:13.000Z,Delivery,cash,0,100.12,7464625622,25077,TN,37013
47494026,iosapp,2019-03-14T05:40:18.000Z,Delivery,credit,0,17.29,6252113045,27666,PA,19148
47495160,slicelife,2019-03-14T07:51:44.000Z,Delivery,credit,0,15.02,12232375598,28176,FL,32810
47499738,partner_website,2019-03-14T09:14:09.000Z,Delivery,credit,0,15.1,25296177650,26289,PA,17110
47500221,iosapp,2019-03-14T09:20:57.000Z,Delivery,credit,0,41.99,9126854441,5241,WV,25801
47501742,partner_website,2019-03-14T09:45:20.000Z,Delivery,credit,0,20,23591860736,24591,FL,33133
47508864,partner_website,2019-03-14T11:56:02.000Z,Pickup,cash,0,33.54,18277223378,16854,NJ,8824
47510535,slicelife,2019-03-14T12:26:25.000Z,Delivery,credit,0,47.31,9070175912,32946,DE,19963
47510994,iosapp,2019-03-14T12:33:49.000Z,Pickup,cash,0,18.82,22222193735,47136,OH,43068
47511525,iosapp,2019-03-14T12:42:31.000Z,Delivery,credit,0,21.29,8017179764,15672,NJ,8021
47513940,slicelife,2019-03-14T13:15:11.000Z,Delivery,cash,0,20.92,6196987925,27246,WA,98101
47515524,iosapp,2019-03-14T13:31:01.000Z,Delivery,credit,0,34.08,15566351627,34284,NY,12065
47516976,partner_website,2019-03-14T13:43:09.000Z,Delivery,credit,0,38.08,29204852744,40584,NJ,7666
47517873,partner_button,2019-03-14T13:50:34.000Z,Pickup,cash,0,48.46,18282360779,44484,NJ,8648
47518545,partner_website,2019-03-14T13:55:33.000Z,Delivery,credit,0,55.8,25364990180,33060,NY,12533
47518557,iosapp,2019-03-14T13:55:49.000Z,Delivery,credit,5,48.52,9177170837,24591,FL,33133
47521716,iosapp,2019-03-14T14:16:24.000Z,Delivery,credit,3,44.68,27586780691,18309,NC,27606
47521842,iosapp,2019-03-14T14:17:17.000Z,Pickup,credit,0,18.8,9128298410,5241,WV,25801
47522403,iosapp,2019-03-14T14:20:24.000Z,Delivery,cash,0,23.2,12378847715,59304,PA,16056
47522949,partner_website,2019-03-14T14:23:31.000Z,Delivery,credit,0,27.99,25901927297,34479,FL,33860
47523006,partner_website,2019-03-14T14:23:49.000Z,Delivery,credit,0,27.99,25901927297,34479,FL,33860
47523297,partner_website,2019-03-14T14:25:29.000Z,Delivery,credit,0,27.99,25901927297,34479,FL,33860
47523396,partner_website,2019-03-14T14:26:00.000Z,Pickup,credit,0,14.18,18276665621,16554,NJ,8036
47524248,androidapp,2019-03-14T14:31:14.000Z,Delivery,credit,3,20.56,25828554881,30747,CT,6111
47524257,slicelife,2019-03-14T14:31:16.000Z,Pickup,cash,0,29.06,24404005250,38883,NJ,8061
47525175,slicelife,2019-03-14T14:36:32.000Z,Delivery,credit,0,52.63,17586084677,27435,FL,32707
47529336,partner_website,2019-03-14T14:58:33.000Z,Delivery,credit,0,89.02,27441473219,16416,NY,10573
47529849,partner_website,2019-03-14T15:00:56.000Z,Delivery,credit,0,24.55,18292582934,36333,NJ,7419
47534175,partner_website,2019-03-14T15:22:21.000Z,Delivery,credit,0,24.62,18459011585,7194,TN,37204
47536878,partner_website,2019-03-14T15:35:13.000Z,Delivery,credit,0,56.54,6462851609,27171,PA,19067
47537121,partner_website,2019-03-14T15:36:21.000Z,Pickup,cash,0,13.21,6050445386,5850,NJ,7701
47539305,partner_website,2019-03-14T15:46:18.000Z,Pickup,cash,0,18.17,21988462394,35397,NJ,8723
47542968,partner_website,2019-03-14T16:03:03.000Z,Delivery,cash,0,17.27,21985835612,17268,NJ,8735
47545035,androidapp,2019-03-14T16:12:53.000Z,Delivery,credit,1,45.45,17157540746,36060,VA,20176
47546007,partner_website,2019-03-14T16:17:15.000Z,Delivery,cash,0,36.76,18585440387,33042,CA,92114
47546235,iosapp,2019-03-14T16:18:25.000Z,Delivery,credit,0,36.72,18315194606,49650,PA,19014
47547546,partner_website,2019-03-14T16:24:21.000Z,Delivery,credit,0,33.52,22828918877,43203,CO,80210
47547960,partner_website,2019-03-14T16:26:29.000Z,Delivery,credit,0,28.98,27443196734,25812,NY,10594
47550741,partner_website,2019-03-14T16:41:15.000Z,Delivery,credit,0,28.16,12157351124,48594,OK,73119
47551935,iosapp,2019-03-14T16:47:40.000Z,Pickup,credit,0,29.28,17572000280,56157,FL,33624
47554359,iosapp,2019-03-14T17:00:34.000Z,Delivery,credit,4,18.61,25902923126,42657,FL,33813
47554476,iosapp,2019-03-14T17:01:17.000Z,Delivery,credit,4,18.61,25902923126,42657,FL,33813
47555304,iosapp,2019-03-14T17:05:27.000Z,Pickup,cash,0,9.89,6761057276,852,DC,20002
47556621,iosapp,2019-03-14T17:13:59.000Z,Pickup,cash,0,18.29,16838695544,32736,FL,33446
47559438,iosapp,2019-03-14T17:32:41.000Z,Delivery,credit,3,19.32,21258192677,45513,TX,76012
47561742,partner_website,2019-03-14T17:50:28.000Z,Delivery,credit,0,38.42,21972772889,18381,CO,80231
47561814,iosapp,2019-03-14T17:51:05.000Z,Delivery,credit,0,26.48,29351967413,36525,MA,1830
47561856,partner_website,2019-03-14T17:51:36.000Z,Pickup,credit,0,21.78,25866237254,31635,NJ,7005
47562696,partner_website,2019-03-14T17:59:01.000Z,Delivery,cash,0,23.72,19401806828,3684,NY,10465
47562912,slicelife,2019-03-14T18:00:53.000Z,Delivery,cash,0,36.17,22719892505,40959,VA,23669
47563521,partner_website,2019-03-14T18:07:03.000Z,Pickup,credit,0,29.6,12462488522,7494,CA,94061
47565909,partner_website,2019-03-14T18:33:22.000Z,Delivery,cash,0,13.54,21955360766,47337,TN,38355
47566653,slicelife,2019-03-14T18:44:08.000Z,Delivery,cash,0,18.72,6196987925,27246,WA,98101
47567076,partner_website,2019-03-14T18:50:38.000Z,Delivery,cash,0,24.53,27282583136,43116,CA,92376
47567679,partner_website,2019-03-14T19:00:08.000Z,Delivery,cash,0,70.37,7464625622,25077,TN,37013
47568195,androidapp,2019-03-14T19:10:17.000Z,Pickup,credit,0,14.56,7454885210,13062,MI,48375
47569365,partner_website,2019-03-14T19:29:24.000Z,Delivery,credit,0,30.69,25707187211,36258,NJ,8083
47571438,iosapp,2019-03-14T20:33:11.000Z,Delivery,credit,0,18.51,18312751742,57072,PA,19382
47574693,partner_website,2019-03-15T07:32:12.000Z,Delivery,cash,0,16.95,6103411793,15639,CT,6484
47575101,androidapp,2019-03-15T07:51:01.000Z,Delivery,credit,0,36.92,27267518882,30054,NJ,7921
47576202,slicelife,2019-03-15T08:13:06.000Z,Delivery,credit,0,23.32,29219400710,40359,NJ,8854
47576433,partner_website,2019-03-15T08:16:12.000Z,Delivery,cash,0,13.77,18520839371,51831,MA,2121
47580564,iosapp,2019-03-15T09:09:10.000Z,Delivery,credit,0,17.63,9177902372,13992,FL,33176
47584182,iosapp,2019-03-15T09:55:05.000Z,Delivery,credit,0,44.53,25728470666,8679,MA,2149
47590185,partner_website,2019-03-15T11:37:20.000Z,Pickup,cash,0,28.37,27329523230,22494,NC,27546
47592450,partner_website,2019-03-15T12:18:28.000Z,Delivery,credit,0,56.87,6038458250,47484,NJ,7857
47598861,partner_website,2019-03-15T13:28:08.000Z,Pickup,credit,0,23.81,17562085556,30336,NY,14468
47603286,partner_button,2019-03-15T13:54:03.000Z,Pickup,credit,0,35.74,18276513005,17586,NJ,8055
47604243,iosapp,2019-03-15T13:59:29.000Z,Delivery,credit,0,22.41,6252113045,29679,PA,18067
47609751,partner_website,2019-03-15T14:23:07.000Z,Pickup,cash,0,28.47,21983382998,40491,NJ,8330
47610615,iosapp,2019-03-15T14:26:18.000Z,Delivery,credit,0,20.49,27517144139,28731,NJ,7078
47612928,partner_website,2019-03-15T14:34:46.000Z,Pickup,cash,0,32.63,6468163808,32382,PA,18901
47614653,partner_website,2019-03-15T14:41:15.000Z,Delivery,credit,0,67.53,29196089642,28731,NJ,7078
47614788,partner_website,2019-03-15T14:41:40.000Z,Pickup,credit,0,26.07,18954239174,55833,NY,11741
47615097,iosapp,2019-03-15T14:42:40.000Z,Pickup,credit,0,28.51,12136163303,46845,GA,30114
47615646,iosapp,2019-03-15T14:44:32.000Z,Delivery,credit,0,36.72,15491490746,35466,NJ,8879
47616711,iosapp,2019-03-15T14:48:10.000Z,Pickup,credit,0,27.42,8020416659,33468,FL,33981
47617041,partner_website,2019-03-15T14:49:33.000Z,Delivery,credit,0,62.95,6487012694,33936,OH,44116
47617182,iosapp,2019-03-15T14:50:06.000Z,Delivery,credit,0,25.34,24396621857,36153,NY,10031
47621172,partner_website,2019-03-15T15:03:20.000Z,Pickup,credit,0,45.44,24412547156,33402,FL,33511
47626059,partner_website,2019-03-15T15:18:05.000Z,Delivery,cash,0,20.47,15503479703,20493,NY,11553
47626182,iosapp,2019-03-15T15:18:27.000Z,Delivery,credit,0,38.04,18309120239,42171,PA,19008
47629122,iosapp,2019-03-15T15:28:14.000Z,Delivery,credit,0,13.75,29197671020,50082,NJ,7039
47630601,iosapp,2019-03-15T15:32:48.000Z,Delivery,credit,0,43.13,21735123815,29436,PA,16056
47631798,partner_website,2019-03-15T15:36:37.000Z,Pickup,cash,0,27.16,12135228716,30678,GA,30096
47632230,iosapp,2019-03-15T15:37:51.000Z,Pickup,credit,0,53.05,27520060226,36252,NJ,7882
47632866,iosapp,2019-03-15T15:40:00.000Z,Delivery,credit,0,43.54,25825850387,1458,CT,6360
